,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Volver a pedir,Verificacion katy,ID de inventario,Marca,Nombre,Descripción ,Tamaño,"Cantidad 
en existencias",Costo de compra ,Taxes ,Precio de importación ,Valor total x unidad,Valor general de mercadería disponible,Precio venta Perú x unidad dolares,Precio de venta peru x unidad en soles,Precio del mercado,,Ganancias x unidad,Ganancia del total de unidades
,K,IN0027,Nyx ,Fat Oil lip,Color chillin like a villain ,4.8ml,3,$7.50 ,$1.55 ,$1.60 ,$10.65 ,$31.95 ,$15.71 ,S/ 55.00,,,$5.06 ,$15.19 
,K,IN0028,Nyx ,Fat Oil lip,Color losin cone-trol,4.8ml,3,$7.50 ,$1.55 ,$1.60 ,$10.65 ,$31.95 ,$15.71 ,S/ 55.00,,,$5.06 ,$15.19 
,K-1,IN0029,Nyx ,Fat oil lip drip trio ,"Color my main, missed call, follow back",3x 4.8ml,3,$13.80 ,$1.55 ,$1.60 ,$16.95 ,$50.85 ,$41.43 ,S/ 145.00,,,$24.48 ,$73.44 
,K,IN0030,Fenty ,Diamond bonb ,Color how many carats ,8g,1,$30.00 ,$1.61 ,$1.60 ,$33.21 ,$33.21 ,$52.86 ,S/ 185.00,,,$19.65 ,$19.65 
,K,IN0031,Fenty ,Crayon Mate contour,Color mocha 03,7.10g,1,$16.31 ,$1.61 ,$1.60 ,$19.52 ,$19.52 ,$51.43 ,S/ 180.00,,,$31.91 ,$31.91 
,K,IN0032,Fenty ,Gloss bomb stix,Color black berry,3.6g,1,$21.40 ,$1.61 ,$1.60 ,$24.61 ,$24.61 ,$40.00 ,S/ 140.00,,,$15.39 ,$15.39 
,K,IN0033,Fenty ,Pencil lip liner,Color brown'd out,1.24g,1,$20.00 ,$1.61 ,$1.60 ,$23.21 ,$23.21 ,$32.86 ,S/ 115.00,,,$9.65 ,$9.65 
,K,IN0034,Fenty ,Pencil lip liner,Color bubble tini,1.24g,1,$15.80 ,$1.61 ,$1.60 ,$19.01 ,$19.01 ,$32.86 ,S/ 115.00,,,$13.85 ,$13.85 
,,IN0035,Fenty ,Gloss bomb,Color fussy 02,9ml,1,$15.80 ,$1.61 ,$1.60 ,$19.01 ,$19.01 ,$37.14 ,S/ 130.00,,,$18.13 ,$18.13 
,,IN0036,Fenty ,Carterita ,Color lila REGALO,,1,$0.00 ,$0.00 ,$1.60 ,$1.60 ,$1.60 ,$0.00 ,,,,($1.60),($1.60)
C,K,IN0037,Patrick-ta,Brocha dual brush,Color blanco for face 03,,1,$30.00 ,$2.65 ,$1.60 ,$34.25 ,$34.25 ,$51.43 ,S/ 180.00,,,$17.18 ,$17.18 
C,K,IN0038,Patrick-ta,Lip crayon precision,Color she's not from here REGALO,0.36g,1,$0.00 ,$0.00 ,$1.60 ,$1.60 ,$1.60 ,$12.86 ,S/ 45.00,,,$11.26 ,$11.26 
